City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
318,Lompoc,US,34.6391,-120.4579,68.22,89,1,4.61,clear sky
319,Nouadhibou,MR,20.931,-17.0347,70.52,87,16,20.67,few clouds
320,Revelstoke,CA,50.9832,-118.2023,55.42,94,1,2.3,clear sky
321,Nador,MA,35.174,-2.9287,71.67,94,90,8.05,overcast clouds
322,Kabala,SL,9.5833,-11.55,70.29,98,100,1.88,light rain
323,Richards Bay,ZA,-28.783,32.0377,63.37,92,50,4.29,scattered clouds
324,Port Blair,IN,11.6667,92.75,82.89,78,93,14.5,overcast clouds
325,Polunochnoye,RU,60.8697,60.4153,36.23,97,14,2.57,few clouds
326,Mabua,PH,9.8089,125.4422,84.81,71,100,3.15,moderate rain
327,Muros,ES,42.7762,-9.0603,63.23,94,98,4.92,overcast clouds
328,Fare,PF,-16.7,-151.0167,77.52,62,0,1.97,clear sky
329,Kingston,JM,17.997,-76.7936,83.35,86,20,1.01,few clouds
330,Maarianhamina,AX,60.0973,19.9348,49.86,93,90,4.61,overcast clouds
331,Tskaltubo,GE,42.3254,42.5979,52.74,94,75,5.75,broken clouds
332,Fort Morgan,US,40.2503,-103.8,64.81,36,1,4.61,clear sky
333,Frei Paulo,BR,-10.5494,-37.5344,66.97,96,22,6.04,few clouds
334,Ilulissat,GL,69.2167,-51.1,24.82,54,75,2.3,broken clouds
335,Nikel,RU,69.4128,30.222,44.78,94,100,5.66,light rain
336,Muisne,EC,0.6,-80.0333,75.02,84,93,4.27,overcast clouds
337,Ouadda,CF,8.0777,22.4007,67.05,98,100,3.2,light rain
338,Yulara,AU,-25.2406,130.9889,82.24,9,98,16.11,overcast clouds
339,Belmopan,BZ,17.25,-88.7667,79.3,98,95,2.46,overcast clouds
340,Chimbote,PE,-9.0853,-78.5783,62.31,87,84,9.1,broken clouds
341,Geraldton,AU,-28.7667,114.6,70.21,37,0,4.61,clear sky
342,Mangai,CD,-4.05,19.5333,69.85,88,88,1.72,overcast clouds
343,Madimba,TZ,-10.4,40.3333,70.72,90,4,5.19,clear sky
